,oe__gender,oe__bachelors,ohe__master_AI,ohe__master_Data Engineer,ohe__master_MBA,ohe__master_None,remainder__etest_p,remainder__degree,remainder__year_exp,remainder__age,result
0,1,1,1,0,0,0,55,85,4,23,0
1,1,1,0,0,0,1,86.5,0,1,44,0
2,1,0,0,0,0,1,75,0,0,45,0
3,1,1,0,0,0,1,66,0,0,41,0
4,1,0,0,0,1,0,96.8,88,2,30,1
5,1,1,0,0,1,0,55,57,4,37,0
6,0,0,0,0,1,0,74.28,66,3,43,0
7,1,1,1,0,0,0,67,55,3,37,0
8,1,0,0,0,1,0,91.34,98,1,31,1
9,1,0,0,0,1,0,54,59,4,43,0
10,1,0,0,0,1,0,62,84,4,31,0
11,1,0,0,0,1,0,60,84,2,32,0
12,0,0,0,0,0,1,62,0,1,42,0
13,0,0,0,0,0,1,68,0,0,43,0
14,1,0,0,0,1,0,76,69,3,31,0
15,0,0,0,0,1,0,72,91,0,25,0
16,1,0,0,0,0,1,60,0,0,42,0
17,0,0,0,0,1,0,60,68,6,33,0
18,0,0,0,0,1,0,68,56,2,28,0
19,1,0,0,0,1,0,50.48,65,5,24,0
20,1,0,0,0,0,1,50,0,1,29,0
21,0,0,0,0,0,1,95,0,0,40,1
22,0,1,0,0,0,1,55.53,0,0,24,0
23,0,1,0,1,0,0,92,92,5,39,1
24,1,1,0,1,0,0,97.4,88,5,33,1
25,0,0,0,0,1,0,76,72,4,34,0
26,1,0,0,0,0,1,94,0,1,41,1
27,1,0,0,0,1,0,68,69,0,44,0
28,1,0,0,0,1,0,73.35,81,1,46,0
29,1,0,0,0,0,1,77,0,1,29,0
30,0,0,0,0,0,1,52,0,0,42,0
31,0,1,0,0,1,0,64,87,3,28,0
32,0,0,0,0,1,0,50.89,78,2,43,0
33,0,0,0,0,1,0,88,69,2,46,0
34,1,1,0,0,0,1,68.44,0,1,23,0
35,0,0,0,0,0,1,71,0,0,39,0
36,1,0,0,0,0,1,64,0,0,33,0
37,0,1,0,0,0,1,58,0,1,44,0
38,0,0,0,0,0,1,53.7,0,0,40,0
39,1,1,1,0,0,0,93,58,1,43,1
40,0,0,0,0,0,1,60,0,0,39,0
41,0,0,0,0,1,0,65,71,1,29,0
42,1,1,1,0,0,0,63,64,1,39,0
43,1,0,0,0,1,0,95,71,1,42,1
44,0,0,0,0,0,1,89,0,1,31,0
45,0,1,0,0,0,1,58,0,0,39,0
46,0,0,0,0,0,1,68,0,0,42,0
47,1,0,0,0,1,0,78,88,0,44,0
48,1,0,0,0,1,0,64,60,0,44,0
49,0,1,1,0,0,0,65,56,1,30,0
50,0,0,0,0,1,0,65,67,0,39,0
